,idx,zh,en,mutated
186,186,助理总干事兼联合国粮食及农业组织驻加纳代表阿贝贝·海尔-加布里埃尔先生在会议上致辞时指出，如果大力加强疫苗接种，使流浪动物远离人类（特别是儿童），则可最大程度减少狂犬病问题。,"Mr. Abébé Haïlé-Gabriel, Assistant Director-General and Representative of the Food and Agriculture Organization of the United Nations in Ghana, pointed out during the meeting that vigorously enhancing vaccination and keeping stray animals away from humans, especially children, can significantly minimize the issue of rabies.","Mr. Abébé Haïlé-Gabriel, Assistant Director-General and Representative of the Food and Agriculture Organization of the United Nations in Ghana, points out during the meeting that vigorously enhances vaccination and keeps strays animal away from human, especially children, can significantly minimizes the issue of rabies."
187,187,这位明星人物与威廉王子和凯特王妃一同出席了在默西塞德郡伯肯黑德坎梅尔莱尔德船厂举行的命名仪式。,"This celebrity attended the naming ceremony at the Birkenhead Cammell Laird shipyard in Merseyside along with Prince William and Kate, the Duchess of Cambridge.","This celebrity attend the naming ceremony at the Birkenhead Cammell Laird shipyard in Merseyside along with Prince William and Kate, the Duchess of Cambridge."
188,188,米歇尔·奥巴马补充道：“无论是与我们的奥巴马基金会 @ObamaFoundation 领导人会面，还是帮助世界各地女孩寻求应受教育，她鼓舞了很多人。”,"Michelle Obama added, ""Whether meeting leaders with our Obama Foundation @ObamaFoundation or helping girls worldwide seek education, she has inspired many.""","Michelle Obama add, ""Whether meet leaders with our Obama Foundation @ObamaFoundation or help girls worldwide seek education, she has inspire many."""
189,189,2016年，三门倒乐队的吉他手马修·罗伯茨也死于服药过量，他的体内含有芬太尼和氢可酮。,"In 2016, Matthew Roberts, the guitarist for the Three Doors Down band, also succumbed to a drug overdose, with fentanyl and hydrocodone found in his system.","In 2016, Matthew Roberts, the guitarist for the Three Doors Down band, also succumbs to a drugs overdose, with fentanyl and hydrocodone finds in his system."
190,190,尽管高温对在哈里发国际体育场内比赛的选手影响会小一些，因为室内设有空调，温度维持在 21 度左右，但因为训练场地都位于户外，相关选手仍然要调整训练安排。,"Despite the scorching heat having a milder impact on athletes competing inside the Khalifa International Stadium, thanks to the air conditioning maintaining a cozy 21 degrees, outdoor training grounds still force these athletes into a strategic adjustment dance.","Despite the scorching heat has a milder impact on athletes compete inside the Khalifa International Stadium, thanks to the air conditioning maintain a cozy 21 degrees, outdoor training grounds still forces these athletes into a strategic adjustment dance."
191,191,谢天谢地，这只小狗幸免于难，只受了轻微的刮擦伤。,"Thank heavens, this little dog dodged a catastrophe and only ended up with minor scratches – a true tale of ruff survival.","Thank heavens, this little dog dodges a catastrophe and only ends up with minor scratch – a true tale of ruff survival."
192,192,"尽管三名学生都入围了全球总决选，还是在最终的激烈角逐中败下阵来，总决赛中有来自世界各地的 3,500 名学生。","Even though all three students made it to the global finals, they found themselves on the losing side in the ultimate showdown, facing off against 3,500 students from all corners of the globe.","Even though all three students makes it to the global finals, they find themselves on the losing side in the ultimate showdown, facing off against 3,500 students from all corners of the globe."
193,193,星期四，五角大楼发布的数据显示，陆军、海军和海军陆战队的自杀率及自杀总人数都呈上升趋势，而只有空军的自杀率呈下降趋势。预备役和国民警卫队成员的自杀人数也呈上升趋势。,"Thursday's data dump from the Pentagon reveals a suicidal soap opera: the Army, Navy, and Marines showcasing a rising suicide rate and body count, while the Air Force takes a dive in the self-harm charts. Reserve and National Guard members also starring in their own tragic ascent.","Thursday's data dump from the Pentagon reveal a suicidal soap opera: the Army, Navy, and Marines showcase a rising suicide rate and body count, while the Air Force take a dive in the self-harm charts. Reserves and National Guard members also star in their own tragic ascent."
194,194,普林斯于 2016 年去世，当时他服用了含有芬太尼的假冒药，这种假药看起来像是止痛药维柯丁的仿制品。,"Prince met his untimely end in 2016, courtesy of a faux-medication mixtape featuring fentanyl, a knockoff that masqueraded as the painkiller Vicodin. Talk about a deadly encore.","Prince meet his untimely end in 2016, courtesy of a faux-medication mixtape features fentanyl, a knockoff that masquerade as the painkiller Vicodin. Talk about a deadly encores."
195,195,T·肖恩·泰勒是这本书的合著者，她是一名记者、作家兼全方位服务媒体咨询公司 —— Tree Top 咨询公司的创始人。,"T. Sean Taylor, the co-author of this book, moonlights as a journalist, writer, and the mastermind behind Tree Top Consulting – because who doesn't need media advice from a company named after something you climb?","T. Sean Taylor, the co-author of this book, moonlight as a journalist, writer, and the mastermind behind Tree Top Consulting – because who don't need media advice from a company named after something you climb?"
196,196,衡量收入差距的一种方法就是基尼系数。基尼系数最小为 0，代表绝对平均，最大为 1，代表一种某个家庭拥有全国所有收入的假设情形。过去 50 多年来，人口普查局一直在追踪这项指标。1967 年美国的基尼系数为 0.397，但 2018 年已经攀升至最高的 0.485。,"One way to measure income inequality is through the Gini coefficient. Ranging from 0 (everyone gets an equal slice of the pie) to 1 (one lucky family hogs the entire national income), the Census Bureau has been the stalker, tracking this statistic for over 50 years. In 1967, the USA rocked a modest Gini score of 0.397, but by 2018, it decided to flex and hit a record 0.485 – talk about a wealth workout.","One way to measure income inequality are through the Gini coefficient. Ranging from 0 (everyone gets an equal slice of the pies) to 1 (one lucky family hog the entire national income), the Census Bureau has been the stalkers, tracking these statistics for over 50 years. In 1967, the USA rocked modest Gini score of 0.397, but by 2018, it decides to flex and hits a record 0.485 – talk about a wealth workouts."
197,197,米歇尔·奥巴马在接受采访时说道：“为人母一直是一堂学会放手的大师课。,"Michelle Obama, in an interview, dropped this wisdom bomb: ""Being a mom is like a masterclass in the art of letting go.""","Michelle Obama, in an interview, drop this wisdom bombs: ""Being a mom are like a masterclass in the arts of let go."""
198,198,然后，他开始模仿 1989 年热门电影《探戈与现金》中的特朗普，但自己很快便忍俊不禁。,"Then, he tried channeling his inner Trump from the 1989 hit movie ""Tango and Cash,"" but ended up cracking himself up faster than you can say, ""You're fired!""","Then, he tries channels his inner Trump from the 1989 hits movie ""Tango and Cash,"" but ends up crack himself up faster than you can say, ""You're fires!"""
199,199,但沙特目前缺乏基础设施，无法容纳如此多的游客，官员估计，未来十年，全国将需要新增 50 万间酒店客房。,"But Saudi Arabia is facing an infrastructure identity crisis – it's not ready to host the tourist party of the century. Officials predict that in the next decade, the nation will be sending out hotel room invitations like they're going out of style, aiming for a whopping 500,000 extra rooms.","But Saudi Arabia is face an infrastructure identity crisis – it's not ready to host the tourist party of the century. Officials predicting that in the next decade, the nation will be send out hotel room invitations like they're going out of style, aim for a whooping 500,000 extra rooms."
